model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,runtime_seconds,dataset,protocol,feature_space
logistic,0.7664233576642335,0.6057377049180328,0.2068965517241379,0.4,0.2727272727272727,0.6759562841530055,0.3904077817616733,0.0574057102203369,pkdd_czech,historical,original
random_forest,0.9124087591240876,0.6292349726775956,0.8,0.2666666666666666,0.4,0.7101092896174863,0.3845000784592607,1.048637628555298,pkdd_czech,historical,original
svm,0.781021897810219,0.4969945355191256,0.1052631578947368,0.1333333333333333,0.1176470588235294,0.637704918032787,0.1557468839330671,0.5590200424194336,pkdd_czech,historical,original
knn,0.7299270072992701,0.6144808743169399,0.1944444444444444,0.4666666666666667,0.2745098039215686,0.5530054644808744,0.1515565109365375,0.0628736019134521,pkdd_czech,historical,original
xgb,0.9051094890510948,0.6836065573770491,0.6,0.4,0.48,0.8240437158469945,0.5671134312993844,1.0351200103759766,pkdd_czech,historical,original
logistic,0.7591240875912408,0.6016393442622952,0.2,0.4,0.2666666666666666,0.6770491803278689,0.3929902177425372,0.049077033996582,pkdd_czech,clean,original
random_forest,0.9051094890510948,0.5959016393442623,0.75,0.2,0.3157894736842105,0.7355191256830601,0.4427615444965001,0.7568037509918213,pkdd_czech,clean,original
svm,0.7372262773722628,0.4724043715846994,0.08,0.1333333333333333,0.1,0.6120218579234973,0.1384742431639894,0.4840230941772461,pkdd_czech,clean,original
knn,0.7445255474452555,0.5934426229508196,0.1875,0.4,0.2553191489361702,0.5404371584699453,0.1354708319445034,0.0633575916290283,pkdd_czech,clean,original
xgb,0.9051094890510948,0.6836065573770491,0.6,0.4,0.48,0.8081967213114754,0.5655982349387056,0.7888829708099365,pkdd_czech,clean,original
logistic,0.7839124226558781,0.780996780996781,0.1512770137524558,0.7777777777777778,0.2532894736842105,0.8420922511831603,0.210020711584608,0.8901934623718262,polish_bankruptcy,historical,original
random_forest,0.9524036173250832,0.7157842157842158,0.4945054945054945,0.4545454545454545,0.4736842105263157,0.8908187771824135,0.4267114554439905,7.407741069793701,polish_bankruptcy,historical,original
