n,n1,n2,t,l,landmark_percent,t_over_n,t_over_n1,t_over_n2,max_t_over_class,naive_2tl_over_n,naive_tl_over_n1,naive_tl_over_n2,suggested_t_over_class_lt_0_20,suggested_naive_near_or_below_1,dataset,protocol,split,snapshot_variant
545,484,61,6,11,10.0,0.0110091743119266,0.012396694214876,0.0983606557377049,0.0983606557377049,0.2422018348623853,0.1363636363636363,1.0819672131147542,True,False,pkdd_czech,historical,train,revised
137,122,15,3,5,10.0,0.0218978102189781,0.0245901639344262,0.2,0.2,0.218978102189781,0.1229508196721311,1.0,False,True,pkdd_czech,historical,test,revised
545,484,61,12,6,20.0,0.0220183486238532,0.024793388429752,0.1967213114754098,0.1967213114754098,0.2642201834862385,0.1487603305785124,1.180327868852459,True,False,pkdd_czech,historical,train,revised
137,122,15,3,5,20.0,0.0218978102189781,0.0245901639344262,0.2,0.2,0.218978102189781,0.1229508196721311,1.0,False,True,pkdd_czech,historical,test,revised
545,484,61,6,11,10.0,0.0110091743119266,0.012396694214876,0.0983606557377049,0.0983606557377049,0.2422018348623853,0.1363636363636363,1.0819672131147542,True,False,pkdd_czech,clean,train,revised
137,122,15,3,5,10.0,0.0218978102189781,0.0245901639344262,0.2,0.2,0.218978102189781,0.1229508196721311,1.0,False,True,pkdd_czech,clean,test,revised
545,484,61,12,6,20.0,0.0220183486238532,0.024793388429752,0.1967213114754098,0.1967213114754098,0.2642201834862385,0.1487603305785124,1.180327868852459,True,False,pkdd_czech,clean,train,revised
137,122,15,3,5,20.0,0.0218978102189781,0.0245901639344262,0.2,0.2,0.218978102189781,0.1229508196721311,1.0,False,True,pkdd_czech,clean,test,revised
8402,8006,396,39,11,10.0,0.0046417519638181,0.0048713464901324,0.0984848484848484,0.0984848484848484,0.102118543203999,0.0535848113914564,1.0833333333333333,True,False,polish_bankruptcy,historical,train,revised
2101,2002,99,9,11,10.0,0.0042836744407425,0.0044955044955044,0.0909090909090909,0.0909090909090909,0.094240837696335,0.0494505494505494,1.0,True,True,polish_bankruptcy,historical,test,revised
8402,8006,396,79,6,20.0,0.0094025232087598,0.0098675993005246,0.1994949494949495,0.1994949494949495,0.1128302785051178,0.0592055958031476,1.196969696969697,True,False,polish_bankruptcy,historical,train,revised
2101,2002,99,19,6,20.0,0.0090433127082341,0.0094905094905094,0.1919191919191919,0.1919191919191919,0.10851975249881,0.0569430569430569,1.1515151515151516,True,False,polish_bankruptcy,historical,test,revised
8402,8006,396,39,11,10.0,0.0046417519638181,0.0048713464901324,0.0984848484848484,0.0984848484848484,0.102118543203999,0.0535848113914564,1.0833333333333333,True,False,polish_bankruptcy,clean,train,revised
2101,2002,99,9,11,10.0,0.0042836744407425,0.0044955044955044,0.0909090909090909,0.0909090909090909,0.094240837696335,0.0494505494505494,1.0,True,True,polish_bankruptcy,clean,test,revised
8402,8006,396,79,6,20.0,0.0094025232087598,0.0098675993005246,0.1994949494949495,0.1994949494949495,0.1128302785051178,0.0592055958031476,1.196969696969697,True,False,polish_bankruptcy,clean,train,revised
2101,2002,99,19,6,20.0,0.0090433127082341,0.0094905094905094,0.1919191919191919,0.1919191919191919,0.10851975249881,0.0569430569430569,1.1515151515151516,True,False,polish_bankruptcy,clean,test,revised
5455,5279,176,17,11,10.0,0.0031164069660861,0.0032203068763023,0.096590909090909,0.096590909090909,0.0685609532538955,0.0354233756393256,1.0625,True,False,taiwan_bankruptcy,historical,train,revised
1364,1320,44,4,11,10.0,0.002932551319648,0.003030303030303,0.0909090909090909,0.0909090909090909,0.064516129032258,0.0333333333333333,1.0,True,True,taiwan_bankruptcy,historical,test,revised
5455,5279,176,35,6,20.0,0.0064161319890009,0.0066300435688577,0.1988636363636363,0.1988636363636363,0.076993583868011,0.0397802614131464,1.193181818181818,True,False,taiwan_bankruptcy,historical,train,revised
1364,1320,44,8,6,20.0,0.0058651026392961,0.006060606060606,0.1818181818181818,0.1818181818181818,0.0703812316715542,0.0363636363636363,1.0909090909090908,True,False,taiwan_bankruptcy,historical,test,revised
5455,5279,176,17,11,10.0,0.0031164069660861,0.0032203068763023,0.096590909090909,0.096590909090909,0.0685609532538955,0.0354233756393256,1.0625,True,False,taiwan_bankruptcy,clean,train,revised
1364,1320,44,4,11,10.0,0.002932551319648,0.003030303030303,0.0909090909090909,0.0909090909090909,0.064516129032258,0.0333333333333333,1.0,True,True,taiwan_bankruptcy,clean,test,revised
5455,5279,176,35,6,20.0,0.0064161319890009,0.0066300435688577,0.1988636363636363,0.1988636363636363,0.076993583868011,0.0397802614131464,1.193181818181818,True,False,taiwan_bankruptcy,clean,train,revised
1364,1320,44,8,6,20.0,0.0058651026392961,0.006060606060606,0.1818181818181818,0.1818181818181818,0.0703812316715542,0.0363636363636363,1.0909090909090908,True,False,taiwan_bankruptcy,clean,test,revised
800,560,240,24,10,10.0,0.03,0.0428571428571428,0.1,0.1,0.6,0.4285714285714285,1.0,True,True,south_german_credit,historical,train,revised
200,140,60,6,10,10.0,0.03,0.0428571428571428,0.1,0.1,0.6,0.4285714285714285,1.0,True,True,south_german_credit,historical,test,revised
800,560,240,48,5,20.0,0.06,0.0857142857142857,0.2,0.2,0.6,0.4285714285714285,1.0,False,True,south_german_credit,historical,train,revised
200,140,60,12,5,20.0,0.06,0.0857142857142857,0.2,0.2,0.6,0.4285714285714285,1.0,False,True,south_german_credit,historical,test,revised
800,560,240,24,10,10.0,0.03,0.0428571428571428,0.1,0.1,0.6,0.4285714285714285,1.0,True,True,south_german_credit,clean,train,revised
200,140,60,6,10,10.0,0.03,0.0428571428571428,0.1,0.1,0.6,0.4285714285714285,1.0,True,True,south_german_credit,clean,test,revised
800,560,240,48,5,20.0,0.06,0.0857142857142857,0.2,0.2,0.6,0.4285714285714285,1.0,False,True,south_german_credit,clean,train,revised
200,140,60,12,5,20.0,0.06,0.0857142857142857,0.2,0.2,0.6,0.4285714285714285,1.0,False,True,south_german_credit,clean,test,revised
545,484,61,6,500,10.0,0.0110091743119266,0.012396694214876,0.0983606557377049,0.0983606557377049,11.009174311926603,6.198347107438017,49.18032786885246,True,False,pkdd_czech,historical,train,historical500
137,122,15,3,500,10.0,0.0218978102189781,0.0245901639344262,0.2,0.2,21.8978102189781,12.295081967213116,100.0,False,False,pkdd_czech,historical,test,historical500
545,484,61,12,500,20.0,0.0220183486238532,0.024793388429752,0.1967213114754098,0.1967213114754098,22.01834862385321,12.396694214876034,98.36065573770492,True,False,pkdd_czech,historical,train,historical500
137,122,15,3,500,20.0,0.0218978102189781,0.0245901639344262,0.2,0.2,21.8978102189781,12.295081967213116,100.0,False,False,pkdd_czech,historical,test,historical500
545,484,61,6,500,10.0,0.0110091743119266,0.012396694214876,0.0983606557377049,0.0983606557377049,11.009174311926603,6.198347107438017,49.18032786885246,True,False,pkdd_czech,clean,train,historical500
137,122,15,3,500,10.0,0.0218978102189781,0.0245901639344262,0.2,0.2,21.8978102189781,12.295081967213116,100.0,False,False,pkdd_czech,clean,test,historical500
545,484,61,12,500,20.0,0.0220183486238532,0.024793388429752,0.1967213114754098,0.1967213114754098,22.01834862385321,12.396694214876034,98.36065573770492,True,False,pkdd_czech,clean,train,historical500
