folder,file,bytes,sha256,dataset,primary_source,mirror_used,licence,actual_sha256,checksum_match
03_pkdd_czech,account.asc,155356,58d7f50abd72e9b1a5568346f74bb54cd71224ee1db9f09a27d7cac563f38cc6,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice,58d7f50abd72e9b1a5568346f74bb54cd71224ee1db9f09a27d7cac563f38cc6,True
03_pkdd_czech,card.asc,31588,fc669bde6adf6457d87421c0bfb218e9c384a7032c6accd348d207a405e72109,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice,fc669bde6adf6457d87421c0bfb218e9c384a7032c6accd348d207a405e72109,True
03_pkdd_czech,client.asc,94820,e435c6b92d246f4f0dfd5e2827469d745c06238714c32b3ffb415eebe794e1a7,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice,e435c6b92d246f4f0dfd5e2827469d745c06238714c32b3ffb415eebe794e1a7,True
03_pkdd_czech,disp.asc,129716,ebd801f77b6d322e8ebc08e52f188e7c8fca539325f85f57f8c73434da9d32d8,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice,ebd801f77b6d322e8ebc08e52f188e7c8fca539325f85f57f8c73434da9d32d8,True
03_pkdd_czech,district.asc,6574,7f03cf3b9b82f0fdcc3abdf6cc716f145db8e9875c68e2d2e2f7151e9ecf4df3,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice,7f03cf3b9b82f0fdcc3abdf6cc716f145db8e9875c68e2d2e2f7151e9ecf4df3,True
03_pkdd_czech,loan.asc,27037,68535f609a254aa7a3f03dd8e27dcb822b532df12a0d6046f0666b8dc0b8ae8e,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice,68535f609a254aa7a3f03dd8e27dcb822b532df12a0d6046f0666b8dc0b8ae8e,True
03_pkdd_czech,order.asc,273800,035930fa6acd2ca42a935e654b21e1bb260248f49b6dc6e7de6351b7c4d56d02,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice,035930fa6acd2ca42a935e654b21e1bb260248f49b6dc6e7de6351b7c4d56d02,True
03_pkdd_czech,trans.asc,69406578,75ab2f39df9d79d79c5c900de90ddd28248b689f214598ac9fa2ff0f574a70d2,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice,75ab2f39df9d79d79c5c900de90ddd28248b689f214598ac9fa2ff0f574a70d2,True
07_polish_bankruptcy,1year.arff,3432892,978ce71a4809e964dda43d46a368c27a1a36df1e0b6345f215473ec9c3b12add,Polish Companies Bankruptcy,"UCI ML Repository (dataset 365), DOI 10.24432/C5F600",github.com/kamileyagci/project-bankruptcy-prediction,CC BY 4.0,978ce71a4809e964dda43d46a368c27a1a36df1e0b6345f215473ec9c3b12add,True
07_polish_bankruptcy,2year.arff,4987459,ec67460055735857b84a73d961193e2b7313147c1b93d900f08400e4071bdb7c,Polish Companies Bankruptcy,"UCI ML Repository (dataset 365), DOI 10.24432/C5F600",github.com/kamileyagci/project-bankruptcy-prediction,CC BY 4.0,ec67460055735857b84a73d961193e2b7313147c1b93d900f08400e4071bdb7c,True
