dataset,protocol,landmark_percent,snapshot_variant,barcode_mean_variance_proxy,global_mean,global_variance,intrinsic_dim_two_nn,n_points_used,mean_mu,intrinsic_dim_levina_bickel,k,std_local_dims,observed_F_pq,p_value,n_permutations,p,q,n1,n2,null_mean,null_std,reference,fpq_method
pkdd_czech,historical,10.0,revised,True,5.702916236289934,48.37332611084777,2.5865086130177497,682.0,2.5720688838757986,0.7563990946844799,10.0,0.42916564931406265,108.87841601471239,0.005025125628140704,199,2.0,2.0,8,9,808.3542602082669,60.889337165506014,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
pkdd_czech,historical,20.0,revised,True,6.3468595206688905,59.58438662216977,2.5865086130177497,682.0,2.5720688838757986,0.7563990946844799,10.0,0.42916564931406265,565.1922066399825,0.010050251256281407,199,2.0,2.0,4,5,1633.4954582120104,213.1638738451406,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
pkdd_czech,clean,10.0,revised,True,6.267492442868512,50.62040822600803,2.603799399162017,682.0,2.604325826486075,0.7546424770392376,10.0,0.43269397314108754,307.3369245418927,0.005025125628140704,199,2.0,2.0,11,11,809.5324672709881,43.12030995617407,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
pkdd_czech,clean,20.0,revised,True,6.488554928627693,46.60843534178131,2.603799399162017,682.0,2.604325826486075,0.7546424770392376,10.0,0.43269397314108754,291.7299226883062,0.010050251256281407,199,2.0,2.0,6,6,985.7940401026718,121.31509185652524,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
polish_bankruptcy,historical,10.0,revised,True,10.303310650012277,961.2223789341832,4.376760941506554,1996.0,1.9519755361185323,0.22578711979718644,10.0,0.13054848137240152,9752.547465105657,0.005025125628140704,199,2.0,2.0,8,9,23614.557804651,1999.945558685697,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
polish_bankruptcy,historical,20.0,revised,True,14.357040322386682,1535.5345568813689,4.376760941506554,1996.0,1.9519755361185323,0.22578711979718644,10.0,0.13054848137240152,20891.697240713802,0.18090452261306533,199,2.0,2.0,4,5,24831.286773648382,4168.807993511611,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
polish_bankruptcy,clean,10.0,revised,True,11.863561876630753,1182.9191436684187,3.8685322030590554,1998.0,76695437971.57315,0.2253243708269437,10.0,0.17710697131698525,23955.558677942427,0.04020100502512563,199,2.0,2.0,11,11,27802.85526358733,1664.7304751823503,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
polish_bankruptcy,clean,20.0,revised,True,15.312098043731895,1953.993453715302,3.8685322030590554,1998.0,76695437971.57315,0.2253243708269437,10.0,0.17710697131698525,29206.744125771824,0.04020100502512563,199,2.0,2.0,6,6,42667.664562984464,4659.270309258211,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
taiwan_bankruptcy,historical,10.0,revised,True,5.087382503040011,26.526384055336738,9.406977846181599,2000.0,1.1235659758961527,0.1057257887934471,10.0,0.048959090012064686,144.87733070744315,0.005025125628140704,199,2.0,2.0,8,9,465.32431823385963,29.48142004017981,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
taiwan_bankruptcy,historical,20.0,revised,True,5.092333432179304,24.200895490048044,9.406977846181599,2000.0,1.1235659758961527,0.1057257887934471,10.0,0.048959090012064686,85.78560111577612,0.010050251256281407,199,2.0,2.0,4,5,357.5025455553124,50.772629912059074,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
taiwan_bankruptcy,clean,10.0,revised,True,4.656909190198748,21.725589023384384,9.441646367655787,2000.0,1.1230189080098412,0.1051424716044141,10.0,0.04850994576733173,179.6200414895378,0.005025125628140704,199,2.0,2.0,11,11,408.8497773646965,18.373834565241616,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
taiwan_bankruptcy,clean,20.0,revised,True,4.999532637494115,24.3556207402373,9.441646367655787,2000.0,1.1230189080098412,0.1051424716044141,10.0,0.04850994576733173,57.625064751537906,0.005025125628140704,199,2.0,2.0,6,6,354.5785054284766,49.441312152751266,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
south_german_credit,historical,10.0,revised,True,3.7947209588694535,13.113293706895586,7.91630245917437,1000.0,1.3981790160825915,0.0960202782951714,10.0,0.05278384810686769,16.654881836651807,0.005025125628140704,199,2.0,2.0,8,8,24.264936396686842,1.567954905697818,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
south_german_credit,historical,20.0,revised,True,3.8166384953239016,11.306505791479363,7.91630245917437,1000.0,1.3981790160825915,0.0960202782951714,10.0,0.05278384810686769,10.020700032481928,0.20603015075376885,199,2.0,2.0,4,4,11.887705576019066,1.4937061663261362,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
south_german_credit,clean,10.0,revised,True,3.7854258140698698,13.390631331737794,7.923172407758491,1000.0,1.4037798313228478,0.09533847097730651,10.0,0.052438904318544276,15.22050840882212,0.005025125628140704,199,2.0,2.0,10,10,29.515687891748566,1.5550201010445945,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
south_german_credit,clean,20.0,revised,True,3.8029612349026354,12.034494424504325,7.923172407758491,1000.0,1.4037798313228478,0.09533847097730651,10.0,0.052438904318544276,14.440507820549056,0.020100502512562814,199,2.0,2.0,5,5,17.748433281139587,1.3507552576266806,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
