dataset,protocol,landmark_percent,snapshot_variant,global_mean,global_variance,observed_F_pq,p_value,n_permutations,p,q,n1,n2,null_mean,null_std,reference,fpq_method
pkdd_czech,historical,10.0,historical500,6.068145032733088,50.29376488633167,197.0188832395628,0.0050251256281407,199,2.0,2.0,400,400,894.5770197533444,1.3220942891758516,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
pkdd_czech,historical,20.0,historical500,6.526567440336727,54.14399482160217,360.4341347990281,0.0050251256281407,199,2.0,2.0,400,400,1224.2206469554976,1.6555002345648695,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
pkdd_czech,clean,10.0,historical500,5.906506489125505,47.88018599526092,160.64926505838602,0.0050251256281407,199,2.0,2.0,500,500,744.2475378173265,0.9681026544179032,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
pkdd_czech,clean,20.0,historical500,6.349724388605466,44.395493116600825,221.09207511190544,0.0050251256281407,199,2.0,2.0,500,500,810.0642026663693,1.093830872606537,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
polish_bankruptcy,historical,10.0,historical500,12.530731506642397,1264.3227656919914,14842.749967832064,0.0050251256281407,199,2.0,2.0,400,400,24856.872465209424,38.553248947958586,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
south_german_credit,historical,10.0,historical500,3.79004336228476,12.894144529807024,16.14023221277096,0.0050251256281407,199,2.0,2.0,400,400,23.507031923762995,0.0295868849713064,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
south_german_credit,historical,20.0,historical500,3.836302249792821,11.565216147776082,15.302018198575762,0.0050251256281407,199,2.0,2.0,400,400,21.087669022210907,0.0224587824217768,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
south_german_credit,clean,10.0,historical500,3.7809901727461166,13.565168581297328,16.595449206979556,0.0050251256281407,199,2.0,2.0,500,500,23.13123104297173,0.0226029553597367,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
south_german_credit,clean,20.0,historical500,3.82151401246906,11.841708746958956,14.038073358884535,0.0050251256281407,199,2.0,2.0,500,500,18.63147590217853,0.018533014323839,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
polish_bankruptcy,historical,20.0,historical500,15.582442411532787,1792.4717827333943,14917.709385090327,0.005025125628140704,199,2.0,2.0,400,400,26911.97709721443,42.835681289147786,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
polish_bankruptcy,clean,10.0,historical500,11.797350014879,1248.6791419076492,19783.867045786894,0.005025125628140704,199,2.0,2.0,500,500,27634.389738931368,39.68220104069056,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
polish_bankruptcy,clean,20.0,historical500,15.366309608508034,1937.37317357061,26165.242177359058,0.005025125628140704,199,2.0,2.0,500,500,34872.44273926492,53.78805158089854,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
taiwan_bankruptcy,historical,10.0,historical500,4.940234409795635,25.247478049361572,118.79624745408722,0.005025125628140704,199,2.0,2.0,400,400,408.35096553276554,0.5003810609911266,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
taiwan_bankruptcy,historical,20.0,historical500,5.153358278007619,26.380507429638936,77.68448535770426,0.005025125628140704,199,2.0,2.0,400,400,304.7892652496147,0.40279359573703577,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
taiwan_bankruptcy,clean,10.0,historical500,4.7804362334868875,25.14127190648397,159.14091364445818,0.005025125628140704,199,2.0,2.0,500,500,466.2092100359082,0.5752248459001675,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
taiwan_bankruptcy,clean,20.0,historical500,5.104932986192112,25.11678885323221,70.31639961768126,0.005025125628140704,199,2.0,2.0,500,500,328.5984871133515,0.44524802926361406,"Robinson & Turner, arXiv:1310.7467 (Algorithm 2; vector-summary proxy)",barcode-vector proxy; not true persistence-diagram distance
