model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,runtime_seconds,dataset,protocol,landmark_percent,snapshot_variant,train_snapshots_per_class,test_snapshots_per_class,feature_space
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0227048397064209,pkdd_czech,historical,10.0,revised,11,5,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6305136680603027,pkdd_czech,historical,10.0,revised,11,5,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0226438045501709,pkdd_czech,historical,10.0,revised,11,5,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2882709503173828,pkdd_czech,historical,10.0,revised,11,5,barcode
xgb,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0,1.0,0.3678441047668457,pkdd_czech,historical,10.0,revised,11,5,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0273206233978271,pkdd_czech,historical,20.0,revised,6,5,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5936839580535889,pkdd_czech,historical,20.0,revised,6,5,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0117890834808349,pkdd_czech,historical,20.0,revised,6,5,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0595691204071044,pkdd_czech,historical,20.0,revised,6,5,barcode
xgb,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,0.3333333333333333,0.1550295352935791,pkdd_czech,historical,20.0,revised,6,5,barcode
logistic,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.0322725772857666,pkdd_czech,clean,10.0,revised,11,5,barcode
random_forest,0.5,0.5,0.5,1.0,0.6666666666666666,0.9,0.8333333333333334,0.5356378555297852,pkdd_czech,clean,10.0,revised,11,5,barcode
svm,0.5,0.5,0.5,1.0,0.6666666666666666,0.72,0.6683333333333333,0.0131192207336425,pkdd_czech,clean,10.0,revised,11,5,barcode
knn,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.064054250717163,pkdd_czech,clean,10.0,revised,11,5,barcode
xgb,0.5,0.5,0.5,1.0,0.6666666666666666,0.9,0.8333333333333334,0.1272711753845214,pkdd_czech,clean,10.0,revised,11,5,barcode
