Experiment,Description,Dataset,Sampling,Model,ACCURACY,PRECISION,RECALL,F1_SCORE
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L30,SVM,0.725,0.68,0.85,0.7555555555555555
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L30,KNN,0.65,0.625,0.75,0.6818181818181818
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L30,XGB,0.735,0.6974789915966386,0.83,0.7579908675799086
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L30,LOGISTIC,0.75,0.7232142857142857,0.81,0.7641509433962265
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L30,RANDOM_FOREST,0.73,0.7017543859649122,0.8,0.7476635514018691
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L60,SVM,0.835,0.819047619047619,0.86,0.8390243902439024
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L60,KNN,0.795,0.7610619469026548,0.86,0.8075117370892019
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L60,XGB,0.82,0.8076923076923077,0.84,0.8235294117647058
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L60,LOGISTIC,0.8,0.7678571428571429,0.86,0.8113207547169812
Experiment 11a,Comparing sampling rates on SGCD,Statlog German Credit Dataset,L60,RANDOM_FOREST,0.805,0.801980198019802,0.81,0.8059701492537313
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L5,SVM,0.99,1.0,0.98,0.98989898989899
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L5,KNN,0.985,1.0,0.97,0.9847715736040609
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L5,XGB,0.985,1.0,0.97,0.9847715736040609
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L5,LOGISTIC,0.985,1.0,0.97,0.9847715736040609
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L5,RANDOM_FOREST,0.985,1.0,0.97,0.9847715736040609
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L15,SVM,0.995,1.0,0.99,0.9949748743718593
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L15,KNN,0.99,1.0,0.98,0.98989898989899
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L15,XGB,1.0,1.0,1.0,1.0
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L15,LOGISTIC,0.98,0.9897959183673469,0.97,0.9797979797979798
Experiment 11b,DCCCD model baseline comparison,Default of Credit Card Client Dataset,L15,RANDOM_FOREST,1.0,1.0,1.0,1.0
