experiment,dataset,sampling_or_split,model,fold,score
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,1,0.85
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,2,0.8625
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,3,0.8375
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,4,0.8375
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,5,0.875
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,6,0.9375
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,7,0.85
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,8,0.925
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,9,0.8875
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,10,0.85
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,knn,1,0.9
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,knn,2,0.95
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,knn,3,0.85
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,knn,4,0.8375
12_Equivalent_Sample_Size_For_Each_Dataset,Default_Of_Credit_Card_Client_Data,data_L1.36.csv,knn,5,0.9125
