experiment,title,dataset,sampling_or_split,model,cv_mean,cv_std,holdout_accuracy,holdout_f1,holdout_minus_cv_mean
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L1.36.csv,svm,0.8712500000000001,0.03356430395524388,0.855,0.8571428571428571,-0.016250000000000098
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L1.36.csv,knn,0.8787499999999999,0.038749999999999986,0.86,0.8585858585858586,-0.018749999999999933
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L1.36.csv,xgb,0.88375,0.037520827549509084,0.855,0.8571428571428571,-0.028750000000000053
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L1.36.csv,logistic,0.8625,0.036657195746537946,0.86,0.86,-0.0025000000000000577
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L1.36.csv,random_forest,0.89125,0.03954823004889095,0.865,0.8656716417910447,-0.026249999999999996
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L2.71.csv,svm,0.93125,0.019565594803123167,0.95,0.9489795918367347,0.018749999999999933
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L2.71.csv,knn,0.95,0.014790199457749034,0.955,0.9543147208121827,0.0050000000000000044
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L2.71.csv,xgb,0.95375,0.017721808598447263,0.94,0.9387755102040817,-0.01375000000000004
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L2.71.csv,logistic,0.9200000000000002,0.02633913438213185,0.95,0.9489795918367347,0.029999999999999805
12_Equivalent_Sample_Size_For_Each_Dataset,Experiment 12 — Equivalent sample size (DCCCD),Default_Of_Credit_Card_Client_Data,data_L2.71.csv,random_forest,0.9574999999999999,0.015000000000000015,0.945,0.9435897435897436,-0.012499999999999956
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L5.csv,svm,0.98375,0.01375,1.0,1.0,0.016249999999999987
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L5.csv,knn,0.9925,0.008291561975888494,1.0,1.0,0.007499999999999951
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L5.csv,xgb,0.9962500000000001,0.00572821961869478,0.995,0.9949748743718593,-0.0012500000000000844
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L5.csv,logistic,0.9775,0.015612494995996007,1.0,1.0,0.022499999999999964
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L5.csv,random_forest,0.9974999999999999,0.004999999999999982,0.995,0.9949748743718593,-0.0024999999999999467
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L15.csv,svm,0.99375,0.006249999999999978,1.0,1.0,0.006249999999999978
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L15.csv,knn,0.9974999999999999,0.004999999999999982,1.0,1.0,0.0025000000000000577
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L15.csv,xgb,0.99875,0.0037499999999999873,1.0,1.0,0.0012499999999999734
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L15.csv,logistic,0.98375,0.012562344526401118,1.0,1.0,0.016249999999999987
13_Similar_Variance_Retained_After_PCA,Experiment 13 — Matched PCA variance (DCCCD),Default_Of_Credit_Card_Client_Data,data_L15.csv,random_forest,1.0,0.0,1.0,1.0,0.0
14_Mixed_Classes_Training_With_Imbalanced_Datasets,Experiment 14 — Imbalanced landmark file counts,Default_Of_Credit_Card_Client_Data,data_L5.csv,svm,0.8,0.0,1.0,1.0,0.19999999999999996
