folder,file,bytes,sha256,dataset,primary_source,mirror_used,licence
01_german_credit,german.data,79793,b21f3d81db8071257d5ff1deaeba1fd4303b62712e6fcc9715c7a86202cb5871,Statlog (German Credit Data),"UCI ML Repository (dataset 144), DOI 10.24432/C5NC77",github.com/Kashishmalhotra/German-Credit-Risk-Analysis,CC BY 4.0
01_german_credit,german.data-numeric,102000,2752b044394958ab6dd193a0b56ca0f0b3a2d8bc7cb8c008e35a5e84bbec02f8,Statlog (German Credit Data),"UCI ML Repository (dataset 144), DOI 10.24432/C5NC77",github.com/Kashishmalhotra/German-Credit-Risk-Analysis,CC BY 4.0
01_german_credit,german.doc,4679,69b92cb551111bc37098698288849c96f0fd87ce81a2e54451ff39aa1e53fe49,Statlog (German Credit Data),"UCI ML Repository (dataset 144), DOI 10.24432/C5NC77",github.com/Kashishmalhotra/German-Credit-Risk-Analysis,CC BY 4.0
02_credit_card_default,UCI_Credit_Card.csv,2862995,a0f0ab49d6326671d6cd83be5c88dcf18007025fe9a53ecd699119c871176ca1,Default of Credit Card Clients,"UCI ML Repository (dataset 350), DOI 10.24432/C55S3H",github.com/thomasXwang/UCI-Credit-card-defaults,CC BY 4.0
03_pkdd_czech,account.asc,155356,58d7f50abd72e9b1a5568346f74bb54cd71224ee1db9f09a27d7cac563f38cc6,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice
03_pkdd_czech,card.asc,31588,fc669bde6adf6457d87421c0bfb218e9c384a7032c6accd348d207a405e72109,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice
03_pkdd_czech,client.asc,94820,e435c6b92d246f4f0dfd5e2827469d745c06238714c32b3ffb415eebe794e1a7,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice
03_pkdd_czech,disp.asc,129716,ebd801f77b6d322e8ebc08e52f188e7c8fca539325f85f57f8c73434da9d32d8,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice
03_pkdd_czech,district.asc,6574,7f03cf3b9b82f0fdcc3abdf6cc716f145db8e9875c68e2d2e2f7151e9ecf4df3,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice
03_pkdd_czech,loan.asc,27037,68535f609a254aa7a3f03dd8e27dcb822b532df12a0d6046f0666b8dc0b8ae8e,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice
03_pkdd_czech,order.asc,273800,035930fa6acd2ca42a935e654b21e1bb260248f49b6dc6e7de6351b7c4d56d02,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice
03_pkdd_czech,trans.asc,69406578,75ab2f39df9d79d79c5c900de90ddd28248b689f214598ac9fa2ff0f574a70d2,PKDD'99 Czech Financial (Berka),PKDD'99 Discovery Challenge / CTU Relational Repository,github.com/jlacko/berka-dataset,Public research challenge data - verify reuse notice
07_polish_bankruptcy,1year.arff,3432892,978ce71a4809e964dda43d46a368c27a1a36df1e0b6345f215473ec9c3b12add,Polish Companies Bankruptcy,"UCI ML Repository (dataset 365), DOI 10.24432/C5F600",github.com/kamileyagci/project-bankruptcy-prediction,CC BY 4.0
07_polish_bankruptcy,2year.arff,4987459,ec67460055735857b84a73d961193e2b7313147c1b93d900f08400e4071bdb7c,Polish Companies Bankruptcy,"UCI ML Repository (dataset 365), DOI 10.24432/C5F600",github.com/kamileyagci/project-bankruptcy-prediction,CC BY 4.0
07_polish_bankruptcy,3year.arff,5169674,662617d2f90bfd17223595e50a0ac7007f9ee7915cfb519dee0422b31dd13ebc,Polish Companies Bankruptcy,"UCI ML Repository (dataset 365), DOI 10.24432/C5F600",github.com/kamileyagci/project-bankruptcy-prediction,CC BY 4.0
07_polish_bankruptcy,4year.arff,4829865,ae11434f0823d6208142ac5a4e83b4f3d7bcf4e827b330a798fdd6590bd9f5cb,Polish Companies Bankruptcy,"UCI ML Repository (dataset 365), DOI 10.24432/C5F600",github.com/kamileyagci/project-bankruptcy-prediction,CC BY 4.0
07_polish_bankruptcy,5year.arff,2899490,cb3f6f250ac46bd8d18e9a222f489fe8ee3e396fcec18959f5a0ef8e8169b2fc,Polish Companies Bankruptcy,"UCI ML Repository (dataset 365), DOI 10.24432/C5F600",github.com/kamileyagci/project-bankruptcy-prediction,CC BY 4.0
08_taiwan_bankruptcy,data.csv,11456101,67bf2e7c75490f7ad3f76bbce57d49cdc25967cdab607527b94f944863fa14d8,Taiwanese Bankruptcy Prediction,"UCI ML Repository (dataset 572), DOI 10.24432/C5004D",github.com/sydularefin-tamut/BankruptcyPrediction_TaiwanML,CC BY 4.0
09_south_german_credit,SouthGermanCredit.asc,47940,5f363343f356ca38a0236baab849e472846399b2176ccc5bd686483dd8a7562f,South German Credit (update),UCI ML Repository (dataset 573),github.com/mayurborkar/Internship-South-German-Bank-Credit-Risk,CC BY 4.0
09_south_german_credit,codetable.txt,3154,0040e7a173a06d1167447b2bbc4315ee1380fa3c25db321b9fd7d97ada0721bf,South German Credit (update),UCI ML Repository (dataset 573),github.com/mayurborkar/Internship-South-German-Bank-Credit-Risk,CC BY 4.0
